corpus_id	file_id	token_id	sentence	token	begin	end
bible	EZE	31:18	To whom are you thus like in glory and in greatness among the trees of Eden?	greatness	42	51
bible	EZE	33:13	When I tell the righteous, that he shall surely live; if he trust to his righteousness, and commit iniquity, none of his righteous deeds shall be remembered; but in his iniquity that he has committed, therein shall he die.	deeds	131	136
bible	JER	36:6	therefore you go, and read in the scroll, which you have written from my mouth, the words of Yahweh in the ears of the people in Yahweh's house on the fast day; and also you shall read them in the ears of all Judah who come out of their cities.	Judah	209	214
bible	ECC	10:6	Folly is set in great dignity, and the rich sit in a low place.	Folly	0	5
bible	PSA	90:10	The days of our years are seventy, or even by reason of strength eighty years; yet their pride is but labor and sorrow, for it passes quickly, and we fly away.	sorrow	112	118
bible	MAL	1:14	"But the deceiver is cursed, who has in his flock a male, and vows, and sacrifices to the Lord a blemished thing; for I am a great King," says Yahweh of Armies, "and my name is awesome among the nations."	flock	44	49
bible	1TI	2:8	I desire therefore that the men in every place pray, lifting up holy hands without anger and doubting.	pray	47	51
bible	JER	5:25	"Your iniquities have turned away these things, and your sins have withheld good from you.	iniquities	6	16
bible	JDG	19:1	It happened in those days, when there was no king in Israel, that there was a certain Levite living on the farther side of the hill country of Ephraim, who took to him a concubine out of Bethlehem Judah.	concubine	170	179
bible	REV	21:20	the fifth, sardonyx; the sixth, sardius; the seventh, chrysolite; the eighth, beryl; the ninth, topaz; the tenth, chrysoprasus; the eleventh, jacinth; and the twelfth, amethyst.	topaz	96	101
bible	LAM	1:9	Her filthiness was in her skirts; she didn't remember her latter end; therefore is she come down wonderfully; she has no comforter: see, Yahweh, my affliction; for the enemy has magnified himself.	filthiness	4	14
bible	LEV	21:7	"'They shall not marry a woman who is a prostitute, or profane; neither shall they marry a woman divorced from her husband: for he is holy to his God.	prostitute	40	50
bible	JAM	2:3	and you pay special attention to him who wears the fine clothing, and say, "Sit here in a good place"; and you tell the poor man, "Stand there," or "Sit by my footstool";	clothing	56	64
bible	1KI	20:21	The king of Israel went out, and struck the horses and chariots, and killed the Syrians with a great slaughter.	chariots	55	63
bible	MAL	4:6	He will turn the hearts of the fathers to the children, and the hearts of the children to their fathers, lest I come and strike the earth with a curse."	earth	132	137
bible	2KI	23:7	He broke down the houses of the sodomites, that were in the house of Yahweh, where the women wove hangings for the Asherah.	hangings	98	106
bible	NAH	1:6	Who can endure the fierceness of his anger?	fierceness	57	67
bible	JER	48:40	For thus says Yahweh: Behold, he shall fly as an eagle, and shall spread out his wings against Moab.	eagle	49	54
bible	ACT	11:24	For he was a good man, and full of the Holy Spirit and of faith, and many people were added to the Lord.	faith	58	63
bible	EZE	21:13	For there is a trial; and what if even the rod that condemns shall be no more?	rod	43	46
bible	LAM	1:1	She has become as a widow, who was great among the nations!	widow	73	78
bible	MAT	1:5	Obed became the father of Jesse.	Jesse	109	114
bible	PSA	85:7	Grant us your salvation.	salvation	52	61
bible	DEU	32:17	They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.	demons	19	25
bible	2CH	10:18	Then king Rehoboam sent Hadoram, who was over the men subject to forced labor; and the children of Israel stoned him to death with stones.	labor	72	77
