corpus_id,file_id,token_id,sentence,token,begin,end
bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117
bible,PSA,40:05:00,"Many, Yahweh, my God, are the wonderful works which you have done, and your thoughts which are toward us.",thoughts,76,84
bible,JOB,16:15,"I have sewed sackcloth on my skin, and have thrust my horn in the dust.",horn,54,58
bible,ACT,22:06,"It happened that, as I made my journey, and came close to Damascus, about noon, suddenly there shone from the sky a great light around me.",journey,31,38
bible,REV,09:19,"For the power of the horses is in their mouths, and in their tails.",tails,61,66
bible,REV,20:02,"He seized the dragon, the old serpent, which is the devil and Satan, who deceives the whole inhabited earth, and bound him for a thousand years,",Satan,62,67
bible,MAR,10:14,"But when Jesus saw it, he was moved with indignation, and said to them, ""Allow the little children to come to me!",indignation,41,52
bible,1KI,09:07,"then will I cut off Israel out of the land which I have given them; and this house, which I have made holy for my name, will I cast out of my sight; and Israel shall be a proverb and a byword among all peoples.",byword,185,191
bible,1SA,27:09:00,"David struck the land, and saved neither man nor woman alive, and took away the sheep, and the cattle, and the donkeys, and the camels, and the clothing; and he returned, and came to Achish.",sheep,80,85
bible,2SA,05:20,"David came to Baal Perazim, and David struck them there; and he said, ""Yahweh has broken my enemies before me, like the breach of waters.""",Baal,14,18
bible,2TI,02:14,"Remind them of these things, charging them in the sight of the Lord, that they don't argue about words, to no profit, to the subverting of those who hear.",Lord,63,67
bible,EZR,07:25,"You, Ezra, after the wisdom of your God who is in your hand, appoint magistrates and judges, who may judge all the people who are beyond the River, all such as know the laws of your God; and teach him who doesn't know them.",Ezra,5,9
bible,SON,07:12,"Let's see whether the vine has budded, its blossom is open, and the pomegranates are in flower.",pomegranates,104,116
bible,GEN,24:61,Rebekah arose with her ladies.,Rebekah,0,7
bible,HEB,02:09,"But we see him who has been made a little lower than the angels, Jesus, because of the suffering of death crowned with glory and honor, that by the grace of God he should taste of death for everyone.",angels,57,63
bible,ISA,17:12,"Ah, the uproar of many peoples, who roar like the roaring of the seas; and the rushing of nations, that rush like the rushing of mighty waters!",Ah,0,2
